Signé,Nom luminaire,Artiste / Dates,Année,Catégorie,Editeur,Spécialité,Collaboration / Œuvre,Description,Matériaux,Dimensions,Estimation,Image luminaire (Nom du fichier),Image designer (imagedesigner),Lien site marchand,Etiquette,Bibliographie
Non,Meshmatics,Rick Tegelaar (1986 - ).,,,,Designer néerlandais.,Moooi,,,,,luminaire_6384.jpg,,,,
Non,Wired - 36 la fayette,Rick Tegelaar (1986 - ).,,,,Designer néerlandais.,Moooi,,,,,luminaire_6383.jpg,,,,
Non,,Rico & Rosmarie Baltensweiler (1920 - 1987).,,,,Designers suisse.,"Baltensweiler AG,Bellikon.",,,,,luminaire_3897.jpg,,,,
Non,,Rico & Rosmarie Baltensweiler (1920 - 1987).,,,,Designers suisse.,"Baltensweiler AG,Bellikon.",,,,,luminaire_3898.jpg,,,,
Non,,Rico & Rosmarie Baltensweiler (1920 - 1987).,,,,Designers suisse.,"Baltensweiler AG,Bellikon.",,,,,luminaire_3899.jpg,,,,
Non,,Rico & Rosmarie Baltensweiler (1920 - 1987).,,,,Designers suisse.,"Baltensweiler AG,Bellikon.",,,,,luminaire_3900.jpg,,,,
Non,Halo-Mobil - CA,Rico & Rosmarie Baltensweiler (1920 - 1987).,1970,,,Designers suisse.,"Baltensweiler AG,Bellikon.",,,,,luminaire_3896.jpg,,,,
Oui,,Rigmor Nielsen (1909 - 1978).,,,,Céramiste danoise.,Sgholm Stentoj,,,,,luminaire_3531.jpg,,,,
Oui,,Rigmor Nielsen (1909 - 1978).,,,,Céramiste danoise.,Sgholm Stentoj,,,,,luminaire_3532.jpg,,,,
Oui,,Rigmor Nielsen (1909 - 1978).,,,,Céramiste danoise.,Sgholm Stentoj,,,,,luminaire_3533.jpg,,,,
Non,,Rigmor Nielsen (1909 - 1978).,,,,Céramiste danoise.,Sgholm Stentoj,,,,,luminaire_3534.jpg,,,,
Oui,,Rigmor Nielsen (1909 - 1978).,,,,Céramiste danoise.,Sgholm Stentoj,,,,,luminaire_3535.jpg,,,,
