Signé,Nom luminaire,Artiste / Dates,Année,Catégorie,Editeur,Spécialité,Collaboration / Œuvre,Description,Matériaux,Dimensions,Estimation,Image luminaire (Nom du fichier),Image designer (imagedesigner),Lien site marchand,Etiquette,Bibliographie
Non,Orion,06D Atelier (?-?).,2018,Suspension,,Duo de designers italiens basé à Londres fondé par Mauro Fragiotta et Francesca Adami.,,"Orion est une lampe sculpturale dont le design se distingue par sa géométrie multifacette. Elle diffuse la lumière grâce à un ensemble de bandes LED et diffuse un jeu de lumière magique dans l'espace, jouant avec les reflets du métal doré. Elle est composée d'une série de plaques d'acier de 2 mm d'épaisseur, découpées au laser, pliées et façonnées, soudées et fraisées, puis finies à la main pour obtenir un fini satiné doux et réfléchissant, sans effet miroir. L'Orion Gold Edition est disponible en édition limitée de 33 exemplaires signés et sérigraphiés.",Laiton,Largeur : 49 hauteur : 25 longueur : 158,19 860 €,luminaire_5966.jpg,,,"Suspension, Doré, Laiton, Haut de gamme, Contemporain",
Oui,,A. Boyreau (?-?).,Ca 1930,Suspension,A. Boyreau Bordeaux,Verrier établi à Bordeaux créateur de luminaires.,Hanots,Un beau lustre fleuri de la période Art Déco avec six panneaux en verre d'art dépoli à motif de tournesol bulbeux dans un cadre original en bronze nickelé avec des bords festonnés et un motif de tournesol assorti sur la verrière.,"Verre, Bronze","Hauteur : 68,58 cm Diamètre : 58,42 cm ",,luminaire_1745.jpg,,,"Suspension, Art déco, Chrome / Argenté, Verre, Milieu de gamme",
Non,Modèle 1063,A.Marciniak (?-?).,Ca 1930,Lampe à poser,Żyrandoli Elektrycznych,Fabricant de luminaire polonais.,,La lampe a été produite dans les années 1930 dans l'usine de lustres électriques d'Antoni Marciniak à Varsovie.,Métal,"H : 43 cm, diamètre cloza 15 cm",100 € - 200 €,luminaire_1426.jpg,,,"Lampe de table, Métal (acier, fer...), Industriel, Années 20-30, Noir, Pas cher",
Non,,A.Tonello et A. Montagna Grillo (?-?).,Ca 1970,Lampe à poser,HIGH SOCIETY,Designer italien.,High Society,"Lampes de table en laiton originales des années 70, production de la HIGH SOCIETY sur le design des architectes Mountain Grillo et Tonello",Laiton,"43 cm de hauteur totale, cm 25 sans abat-jours",400 €,luminaire_4083.jpg,,,"Lampe de table, Années 70, Milieu de gamme, Laiton",
Non,Pyramide,A.Tonello et A. Montagna Grillo (?-?).,Ca 1970,Lampe à poser,High Society,Designer italien.,High Society,"Lampe dont le pied en métal chromé est formé de deux pyramides triangulaires, chacune légèrement vrillée, positionnées tête à tête, la torsion finale étant de 90 degrés.",Métal doré,H : 56 cm - L : 12 cm - P : 12 cm - Diam : 30 cm,300 €,luminaire_4084.jpg,,,"Lampe de table, Chrome / Argenté, Space Age, Années 70, Géométrique / Droit, Milieu de gamme","La rivista dell'arredamento Interni 69 (settembre 1972), inserto ""Il corriere dell'arredamento"""
Non,Pyramide,A.Tonello et A. Montagna Grillo (?-?).,Ca 1970,Lampadaire,High Society,Designer italien.,High Society,,Métal nickel,"Hauteur : 173 cm, Diamètre : 50 cm",1000 €,luminaire_4085.jpg,,,"Lampadaire, Années 70, Métal (acier, fer...), Chrome / Argenté, Tissu, Milieu de gamme",
Non,Hippo,A+A Cooren (1999 - ).,2011,Suspension,Vertigo Bird,Designers français Aki et Arnaud Cooren.,"Vertigobird, Kundalini, Yamagiwa,","Aussi joyeux qu’une tête d’hippo, Hippo est unique, amical, poétique, joueur et plein de personnalité avec des possibilités infinies d’arrangements dans l’espace intérieur.",,"Dimension de la tête : Dia. 20cm, L 27cm",500 €,luminaire_8790.jpg,,,"Suspension, Pas cher, Contemporain, Opaline, Blanc, Organique / Courbe",
Non,Ishigaki,A+A Cooren (1999 - ).,2020,Lampadaire,,Designers français Aki et Arnaud Cooren.,"Vertigobird, Kundalini, Yamagiwa,",,"Lin, Carbone, Résine, Acier, Bambou",H:75,W:26,luminaire_8794.jpg,,,"Contemporain, Lampadaire, Haut de gamme, Métal (acier, fer...), Organique / Courbe",
Non,Kokeshi,A+A Cooren (1999 - ).,2012,Lampe à poser,Vertigo Bird,Designers français Aki et Arnaud Cooren.,"Vertigobird, Kundalini, Yamagiwa,","Inspirée du jouet en bois traditionnel japonais, la lampe Kokeshi incarne l'élégance et la chaleur, diffusant une lumière douce et confortable.‎ Son design polyvalent lui permet d’être placée près du lit, sur une table ou sur une armoire, ajoutant une touche de caractère à tout intérieur.‎ La tête lumineuse de la Kokeshi diffuse une lumière chaleureuse et ciblée, tandis que son corps en bois évoque la sensation artisanale et réconfortante du jouet traditionnel.‎ Cette fusion de simplicité et de tradition fait de la lampe Kokeshi un ajout charmant et fonctionnel à tout espace.‎",Bois,"H : 40 cm, D : 32 cm",460 €,luminaire_8791.jpg,,,"Lampe de table, Verre, Bois, Blanc, Contemporain, Milieu de gamme",
Non,Loup,A+A Cooren (1999 - ).,,Suspension,KUNDALINI,Designers français Aki et Arnaud Cooren.,"Vertigobird, Kundalini, Yamagiwa,",La suspension minimaliste Loup-o est dotée de spots directs et indirects. Ce luminaire en métal est disponible en noir mat ou en blanc.,Métal,"H : 44 cm, D : 18 cm",,luminaire_8792.jpg,,,"Suspension, Métal (acier, fer...), Géométrique / Droit, Contemporain, Milieu de gamme",
Non,Orbit spot,A+A Cooren (1999 - ).,2010,Lampe à poser,YMER&MALTA,Designers français Aki et Arnaud Cooren.,"Vertigobird, Kundalini, Yamagiwa,","Petite comète lumineuse sortie de son orbite, le spot Orbit d'A+A cooren pour Ymer&Malta s'équilibre grâce à son centre de gravité. On peut le positionner de différentes manières et jouer avec la lumière, oblique ou plus verticale, grâce à la transparence du marbre. Disponible en marbre de Carrare noir ou blanc, en 3 tailles et avec lampe LED, Orbit est une édition limitée à 20 exemplaires, signée Ymer&Malta.",Marbre,L.30 x H.33 cm,,luminaire_8793.jpg,,,"Lampe de table, Milieu de gamme, Marbre, Globe / Sphère, Contemporain",
Non,,Aage Herlow (1892 - 1986).,Ca 1960,Suspension,,Artiste danois.,Fog & Morup,,Laiton,,,luminaire_2094.jpg,,,"Plafonnier / Lustre, Laiton, Doré, Milieu de gamme, Suspension, Vintage",
Non, Hans Agnes Jakobsson,Aage Herlow (1892 - 1986).,,,,Artiste danois.,Fog & Morup,"Suspension se composant d'un abat-jour cylindrique en verre fumé avec un diffuseur interne perforé, fixé à l'aide de trois vis et une base élancée, le tout en laiton.",Verre,"Diamètre 30cm, Hauteur 85cm",1 500 €,luminaire_2095.jpg,,,"Suspension, Verre, Coloré, Années 50-60 (Mid-century), Vintage, Géométrique / Droit, Transparent / Fumé, Milieu de gamme",
Non,,Aage Herlow (1892 - 1986).,,Suspension,,Artiste danois.,Fog & Morup,,Laiton,,,luminaire_2096.jpg,,,"Plafonnier / Lustre, Années 50-60 (Mid-century), Laiton, Milieu de gamme",
Non,Attribué,Aage Herlow (1892 - 1986).,,Applique,,Artiste danois.,Fog & Morup,,Laiton,,,luminaire_2097.jpg,,,"Applique murale, Laiton, Doré, Milieu de gamme, Années 50-60 (Mid-century)",
Non,Eglise Saint Michaelis,Aage Herlow (1892 - 1986).,1956,Suspension,Fog & Mørup,Artiste danois.,Fog & Morup,"Spécialement commandée pour cette église, cette lampe monumentale n'a été produite qu'en huit exemplaires. Vendue avec des copies des dessins originaux et une facture de Fog & Mørup.","aluminium émaillé, laiton","H : 102 cm, D : 48 cm",8 000 €,luminaire_2098.jpg,,,"Suspension, Métal (acier, fer...), Milieu de gamme, Géométrique / Droit, Vintage",
Non,Eglise Saint Michaelis,Aage Herlow (1892 - 1986).,1956,Suspension,Fog & Morup,Artiste danois.,Fog & Morup,"Spécialement commandée pour cette église, cette lampe monumentale n'a été produite qu'en huit exemplaires. Vendue avec des copies des dessins originaux et une facture de Fog & Mørup.",Métal,,8 000 €,luminaire_2099.jpg,,,,
Non,,Aage Holm Sorensen (1913 - 2004).,,,,Designer danois surtout connu pour sa vaste collection de luminaires.,"Warm Nordic, Holm Sorensen & Co, ASEA",Structure en teck à base tripode et entretoise intermédiaire. Reflecteur en verre bleu et diffuseur en verre opalin.,"Teck, Verre",137.5 cm hauteur,5 000 €,luminaire_3173.jpg,,,"Lampadaire, Scandinave, Années 50-60 (Mid-century), Bois, Verre, Haut de gamme",
Non,Etiquette - Ca,Aage Holm Sorensen (1913 - 2004).,1960,,,Designer danois surtout connu pour sa vaste collection de luminaires.,"Warm Nordic, Holm Sorensen & Co, ASEA","Suspension artichaut formée de cinq couronnes en laiton découpé et façonné formant pétales, platine supérieure dans laquelle est insérée le fût interne cylindrique couronné d'un arrêtoir circulaire soutenu par la chaîne, cache-bélière conique, l'ensemble en laiton.",Laiton,"Haut. 94cm, Diam. 44cm",1 000 €,luminaire_3169.jpg,,,"Suspension, Années 50-60 (Mid-century), Laiton, Globe / Sphère, Doré, Vintage, Milieu de gamme",
Non,Fishing Pole - Ca,Aage Holm Sorensen (1913 - 2004).,1960,,,Designer danois surtout connu pour sa vaste collection de luminaires.,"Warm Nordic, Holm Sorensen & Co, ASEA","Réalisée en teck, laiton et métal moulé peint en noir, la lampe nécessite une ampoule à vis Edison E27.","Teck, laiton","Largeur 36cm, Hauteur 160cm",4 000 €,luminaire_3170.jpg,,,"Lampadaire, Scandinave, Vintage, Bois, Laiton, Tissu, Milieu de gamme",
Non,Flamme,Aage Holm Sorensen (1913 - 2004).,1960,,,Designer danois surtout connu pour sa vaste collection de luminaires.,"Warm Nordic, Holm Sorensen & Co, ASEA",Grande applique en laiton en forme de feuille conçue par Svend Aage Holm Sørensen dans les années 1960. Art mural brutaliste.,Laiton,"Haut. 40cm, Lar. 18cm",500€,luminaire_3174.jpg,,,"Applique murale, Laiton, Doré, Vintage, Années 50-60 (Mid-century), Milieu de gamme",
Non,Modele 6395 - Ca,Aage Holm Sorensen (1913 - 2004).,1960,,,Designer danois surtout connu pour sa vaste collection de luminaires.,"Warm Nordic, Holm Sorensen & Co, ASEA",Cette lampe brutale à suspendre en laiton est faite de laiton traité à l'acide et découpé à la flamme.,Laiton,"Haut. 118cm, Diam. 40cm",500 €,luminaire_3171.jpg,,,"Suspension, Laiton, Doré, Globe / Sphère, Pas cher, Vintage",
Non,Modèle 5175 - Ca,Aage Holm Sorensen (1913 - 2004).,1960,,,Designer danois surtout connu pour sa vaste collection de luminaires.,"Warm Nordic, Holm Sorensen & Co, ASEA",Applique lourde avec des briques de verre épaisses et texturées de couleur brun-orange et jaune.,Verre,"Haut. 30cm, Larg. 22cm",,luminaire_3172.jpg,,,"Applique murale, Verre, Géométrique / Droit, Coloré, Années 50-60 (Mid-century), Vintage, Pas cher",
Non,,Aage Petersen (1902 - 1982).,,,,"Sculpteur et designer danois. Le Klint, fondée par Tage Klint.",,Paire de lampes de table noires avec des détails en laiton et des abat-jour blancs plissés à la main. Hauteur réglable.,"Métal, tissus","Diam. 45cm, Haut. 75cm",,luminaire_2695.jpg,,,"Lampe de table, Tissu, Années 50-60 (Mid-century), Métal (acier, fer...), Milieu de gamme, Noir",
Non,,Aage Petersen (1902 - 1982).,,,,"Sculpteur et designer danois. Le Klint, fondée par Tage Klint.",,"Le pied de la lampe peut être rallongé en haut, de sorte que la hauteur totale est réglable de 113 à 158cm, ainsi le lampadaire peut également faire office de liseuse grâce à l’abat-jour qui peut être incliné vers le haut.","Métal, Tissus","Diam. 55cm, Haut. 158cm",,luminaire_2696.jpg,,,"Lampadaire, Tissu, Métal (acier, fer...), Années 50-60 (Mid-century), Milieu de gamme, Vintage",
Non,Modèle 307,Aage Petersen (1902 - 1982).,1948,,,"Sculpteur et designer danois. Le Klint, fondée par Tage Klint.",,,"Laiton, Coton","Diam. 30cm, Haut. 80cm",,luminaire_2694.jpg,,,"Lampadaire, Laiton, Tissu, Années 50-60 (Mid-century), Vintage, Milieu de gamme, Coloré",
Non,Eglise Skovlunde,Aage Porsbo (?-?).,1971,,Edition Kemp & Lauritzen,Architecte danois. ,,,Laiton,,,luminaire_4798.jpg,,,"Plafonnier / Lustre, Années 70, Milieu de gamme, Laiton, Coloré, Vintage",
Non,Eglise Skovlunde,Aage Porsbo (?-?).,1972,,Edition Kemp & Lauritzen,Architecte danois.,,,"Laiton, Plexiglass","Diam. 28cm, Haut. 60cm",,luminaire_4799.jpg,,,"Applique murale, Plastique / Acrylique, Laiton, Doré, Milieu de gamme, Vintage, Années 70",
Non,,Aage Rafn (1890-1953).,1925,,Lauritz Rasmussen,Architecte danois.,,,"Métal, laiton et verre.","Diam. 22cm, Haut. 122cm",4 000€,luminaire_2045.jpg,,,"Suspension, Art déco, Laiton, Champignon, Verre, Haut de gamme, Doré, Transparent / Fumé",
Non,,Aage Rafn (1890-1953).,,,Lauritz Rasmussen,Architecte danois.,,"En collaboration avec Hans Jørgen Kampmann, Christian Kampmann, Holger Jacobsen et Anton Frederiksen, Aage Rafn a conçu le siège de Rigspolitiet à Copenhague d’où provient la paire actuelle de lampes.","Bronze, verre.",Haut. 92 cm,,luminaire_2047.jpg,,,"Lampe de table, Bronze, Verre, Géométrique / Droit, Haut de gamme, Art déco",
Non,,Aage Rafn (1890-1953).,,,Lauritz Rasmussen,Architecte danois.,,Le plafonnier fut exposé au Pavillon danois de l'Exposition universelle de Paris en 1925.,"Bronze, verre",,,luminaire_2048.jpg,,,"Plafonnier / Lustre, Bronze, Verre, Noir, Haut de gamme, Art déco",
Non,Attribué,Aage Rafn (1890-1953).,,,Lauritz Rasmussen,Architecte danois.,,,,,,luminaire_2046.jpg,,,,
Non,,AAMA Design (-).,,,,Maison d’édition parisienne.,,,,,,luminaire_9003.jpg,,,,
Non,,AAMA Design (-).,,,,Maison d’édition parisienne.,,,,,,luminaire_9004.jpg,,,,
Non,,AAMA Design (-).,,,,Maison d’édition parisienne.,,,,,,luminaire_9005.jpg,,,,
Non,,AAMA Design (-).,,,,Maison d’édition parisienne.,,,,,,luminaire_9006.jpg,,,,
Non,,Abo Randers (-).,,,,Fabricant de luminaire danois.,,,,,,luminaire_4891.jpg,,,,
Non,,Abo Randers (-).,,,,Fabricant de luminaire danois.,,,,,,luminaire_4892.jpg,,,,
Non,,Abo Randers (-).,,,,Fabricant de luminaire danois.,,,,,,luminaire_4893.jpg,,,,
Non,,Abo Randers (-).,,,,Fabricant de luminaire danois.,,,,,,luminaire_4894.jpg,,,,
Non,,Abo Randers (-).,,,,Fabricant de luminaire danois.,,,,,,luminaire_4896.jpg,,,,
Non,,Abo Randers (-).,,,,Fabricant de luminaire danois.,,,,,,luminaire_4897.jpg,,,,
Non,Arco,Achille Castiglioni (1918 - 2002).,1962,,,Designer italien. Son frère Pier Giacomo.,Flos,,,,,luminaire_3025.jpg,,,,
Non,Light ball,Achille Castiglioni (1918 - 2002).,1960,,,Designer italien. Son frère Pier Giacomo.,Flos,,,,,luminaire_3028.jpg,,,,
Non,Splugen Brau,Achille Castiglioni (1918 - 2002).,1960,,,Designer italien. Son frère Pier Giacomo.,Flos,,,,,luminaire_3026.jpg,,,,
Non,Taccia,Achille Castiglioni (1918 - 2002).,1962,,,Designer italien. Son frère Pier Giacomo.,Flos,,,,,luminaire_3029.jpg,,,,
Non,Toio,Achille Castiglioni (1918 - 2002).,1962,,,Designer italien. Son frère Pier Giacomo.,Flos,,,,,luminaire_3027.jpg,,,,
Non,Viscontea,Achille Castiglioni (1918 - 2002).,1960,,,Designer italien. Son frère Pier Giacomo.,Flos,,,,,luminaire_3030.jpg,,,,
Non,,Achille Jacques Louis Auguste Fédel (1795 - 1849).,,,,Architecte et ornemaniste français.,,,,,,luminaire_333.jpg,,,,
Non,,Achille Jacques Louis Auguste Fédel (1795 - 1849).,,,,Architecte et ornemaniste français.,,,,,,luminaire_334.jpg,,,,
Non,,Acton Bjorn (1910 - 1992).,,,,Designer danois.,"Lyfa, Nordisk Solar, Sigvard Bernadotte",,,,,luminaire_2512.jpg,,,,
Non,,Acton Bjorn (1910 - 1992).,,,,Designer danois.,"Lyfa, Nordisk Solar, Sigvard Bernadotte",,,,,luminaire_2513.jpg,,,,
Non,,Acton Bjorn (1910 - 1992).,,,,Designer danois.,"Lyfa, Nordisk Solar, Sigvard Bernadotte",,,,,luminaire_2514.jpg,,,,
Non,P1061,Acton Bjorn (1910 - 1992).,,,,Designer danois.,"Lyfa, Nordisk Solar, Sigvard Bernadotte",,,,,luminaire_2511.jpg,,,,
Non,,Adalbert Szabo (1877-1961).,,,,Designer français d’origine hongroise.,,,,,,luminaire_1803.jpg,,,,
Oui,,Adalbert Szabo (1877-1961).,,,,Designer français d’origine hongroise.,,,,,,luminaire_1804.jpg,,,,
Non,,Adalberto Dal Lago (1937 - ).,,,,Architecte et designer italien.,"Esperia Kartell, Vistosi",,,,,luminaire_4373.jpg,,,,
Non,Drive,Adalberto Dal Lago (1937 - ).,1974,,,Architecte et designer italien.,"Esperia Kartell, Vistosi",,,,,luminaire_4371.jpg,,,,
Non,Drive,Adalberto Dal Lago (1937 - ).,1974,,,Architecte et designer italien.,"Esperia Kartell, Vistosi",,,,,luminaire_4372.jpg,,,,
Non,Galea,Adalberto Dal Lago (1937 - ).,1968,,,Architecte et designer italien.,"Esperia Kartell, Vistosi",,,,,luminaire_4370.jpg,,,,
Non,Griglia,Adalberto Dal Lago (1937 - ).,,,,Architecte et designer italien.,"Esperia Kartell, Vistosi",,,,,luminaire_4368.jpg,,,,
Non,Griglia,Adalberto Dal Lago (1937 - ).,,,,Architecte et designer italien.,"Esperia Kartell, Vistosi",,,,,luminaire_4369.jpg,,,,
Non,,Adelie Ducasse (?-?).,,,,Céramiste française.,,,,,,luminaire_8581.jpg,,,,
Non,,Adelie Ducasse (?-?).,,,,Céramiste française.,,,,,,luminaire_8582.jpg,,,,
Non,,Adelie Ducasse (?-?).,,,,Céramiste française.,,,,,,luminaire_8583.jpg,,,,
Non,,Ado Chale né Adolphe Pelsener (1928 - ).,,,,Artiste belge.,,,,,,luminaire_4460.jpg,,,,
Non,,Ado Chale né Adolphe Pelsener (1928 - ).,,,,Artiste belge.,,,,,,luminaire_4461.jpg,,,,
Non,,Ado Chale né Adolphe Pelsener (1928 - ).,,,,Artiste belge.,,,,,,luminaire_4462.jpg,,,,
Oui,,Ado Chale né Adolphe Pelsener (1928 - ).,,,,Artiste belge.,,,,,,luminaire_4463.jpg,,,,
Non,,Ado Chale né Adolphe Pelsener (1928 - ).,,,,Artiste belge.,,,,,,luminaire_4464.jpg,,,,
Non,Anglo-Austrian Bank,Adolf Loos (1870 - 1933).,1914,,,"Architecte autrichien, défenseur du dépouillement intégral dans l’architecture moderne.","Villa Muller Prague 1930, Knize",,,,,luminaire_828.jpg,,,,
Non,Brioni,Adolf Loos (1870 - 1933).,1914,,,"Architecte autrichien, défenseur du dépouillement intégral dans l’architecture moderne.","Villa Muller Prague 1930, Knize",,,,,luminaire_831.jpg,,,,
Non,Cafe Museum,Adolf Loos (1870 - 1933).,1899,,,"Architecte autrichien, défenseur du dépouillement intégral dans l’architecture moderne.","Villa Muller Prague 1930, Knize",,,,,luminaire_833.jpg,,,,
Non,Knize,Adolf Loos (1870 - 1933).,1909,,,"Architecte autrichien, défenseur du dépouillement intégral dans l’architecture moderne.","Villa Muller Prague 1930, Knize",,,,,luminaire_832.jpg,,,,
Non,Maison Stoessel,Adolf Loos (1870 - 1933).,1914,,,"Architecte autrichien, défenseur du dépouillement intégral dans l’architecture moderne.","Villa Muller Prague 1930, Knize",,,,,luminaire_829.jpg,,,,
Non,Salle à manger Léopold,Adolf Loos (1870 - 1933).,,,,"Architecte autrichien, défenseur du dépouillement intégral dans l’architecture moderne.","Villa Muller Prague 1930, Knize",,,,,luminaire_827.jpg,,,,
Non,,Adolph Joseph Pohl (1872-1930).,1901,,,Artiste autrichien et sculpteur universitaire.,"Etablisements LOETZ, Bakalowits",,,,,luminaire_1025.jpg,,,,
Non,,Adolph Joseph Pohl (1872-1930).,,,,Artiste autrichien et sculpteur universitaire.,"Etablisements LOETZ, Bakalowits",,,,,luminaire_1026.jpg,,,,
Non,,Adolph Joseph Pohl (1872-1930).,,,,Artiste autrichien et sculpteur universitaire.,"Etablisements LOETZ, Bakalowits",,,,,luminaire_1028.jpg,,,,
Oui,Ca,Adolph Joseph Pohl (1872-1930).,1910,,,Artiste autrichien et sculpteur universitaire.,"Etablisements LOETZ, Bakalowits",,,,,luminaire_1027.jpg,,,,
Non,Attribué,Adolphe Armand Truffier (actif entre 1890 et 1930).,,,,Sculpteur français.,Alphonse Mucha Barbedienne.,,,,,luminaire_700.jpg,,,,
Oui,Ca,Adolphe Armand Truffier (actif entre 1890 et 1930).,1900,,,Sculpteur français.,Alphonse Mucha Barbedienne.,,,,,luminaire_699.jpg,,,,
Non,Exposition Société des Artistes français,Adolphe Armand Truffier (actif entre 1890 et 1930).,1901,,,Sculpteur français.,Alphonse Mucha Barbedienne.,,,,,luminaire_701.jpg,,,,
Non,Ca,"Adolphe-Victor Geoffroy-Dechaume, dit Victor Geoffroy-Dechaume (1816 - 1892).",1953,,,Sculpteur et orfèvre français.,,,,,,luminaire_407.jpg,,,,
Non,Ca,"Adolphe-Victor Geoffroy-Dechaume, dit Victor Geoffroy-Dechaume (1816 - 1892).",1953,,,Sculpteur et orfèvre français.,,,,,,luminaire_409.jpg,,,,
Non,Persan - vers,"Adolphe-Victor Geoffroy-Dechaume, dit Victor Geoffroy-Dechaume (1816 - 1892).",1853,,,Sculpteur et orfèvre français.,,,,,,luminaire_408.jpg,,,,
Non,,Adrasteia ( - ).,,,,Fabricant de luminaire italien.,"Annig Sarian, Virgina Scoccimaro, Sergio Asti",,,,,luminaire_3723.jpg,,,,
Non,,Adrasteia ( - ).,,,,Fabricant de luminaire italien.,"Annig Sarian, Virgina Scoccimaro, Sergio Asti",,,,,luminaire_3724.jpg,,,,
Non,,Adrasteia ( - ).,,,,Fabricant de luminaire italien.,"Annig Sarian, Virgina Scoccimaro, Sergio Asti",,,,,luminaire_3725.jpg,,,,
Non,,Adrasteia ( - ).,,,,Fabricant de luminaire italien.,"Annig Sarian, Virgina Scoccimaro, Sergio Asti",,,,,luminaire_3726.jpg,,,,
Non,,Adrasteia ( - ).,,,,Fabricant de luminaire italien.,"Annig Sarian, Virgina Scoccimaro, Sergio Asti",,,,,luminaire_3727.jpg,,,,
Non,,Adrasteia ( - ).,,,,Fabricant de luminaire italien.,"Annig Sarian, Virgina Scoccimaro, Sergio Asti",,,,,luminaire_3728.jpg,,,,
Non,,Adriana Lohmann (-).,,,,Adriana Lohmann est une créatrice de luminaires italienne.,,,,,,luminaire_8656.jpg,,,,
Non,,Adriana Lohmann (-).,,,,Adriana Lohmann est une créatrice de luminaires italienne.,,,,,,luminaire_8657.jpg,,,,
Non,,Adriana Lohmann (-).,,,,Adriana Lohmann est une créatrice de luminaires italienne.,,,,,,luminaire_8658.jpg,,,,
Non,,Adriana Lohmann (-).,,,,Adriana Lohmann est une créatrice de luminaires italienne.,,,,,,luminaire_8659.jpg,,,,
Non,,Adriano Rachele (1984 - ).,,,,Designer italien.,Slamp,,,,,luminaire_6443.jpg,,,,
Non,Clizia,Adriano Rachele (1984 - ).,,,,Designer italien.,Slamp,,,,,luminaire_6440.jpg,,,,
Non,Mida,Adriano Rachele (1984 - ).,,,,Designer italien.,Slamp,,,,,luminaire_6442.jpg,,,,
Non,Veli,Adriano Rachele (1984 - ).,,,,Designer italien.,Slamp,,,,,luminaire_6441.jpg,,,,
Non,,Adrien Audoux et Frida Minet (actif 1929 - 1965).,,,,Designers français.,,,,,,luminaire_2032.jpg,,,,
Non,,Adrien Audoux et Frida Minet (actif 1929 - 1965).,,,,Designers français.,,,,,,luminaire_2033.jpg,,,,
Non,,Adrien Audoux et Frida Minet (actif 1929 - 1965).,,,,Designers français.,,,,,,luminaire_2034.jpg,,,,
Non,,Adrien Audoux et Frida Minet (actif 1929 - 1965).,,,,Designers français.,,,,,,luminaire_2035.jpg,,,,
Non,,Adrien Audoux et Frida Minet (actif 1929 - 1965).,,,,Designers français.,,,,,,luminaire_2036.jpg,,,,
Non,,Adrien Audoux et Frida Minet (actif 1929 - 1965).,,,,Designers français.,,,,,,luminaire_2037.jpg,,,,
Non,,Aede (-).,,,,Studio design à Paris.,,,,,,luminaire_9007.jpg,,,,
Non,,Aede (-).,,,,Studio design à Paris.,,,,,,luminaire_9008.jpg,,,,
Non,,Affortunato Gory (actif de 1895 - 1925).,,,,"Il est connu pour travailler principalement dans le style Art Déco souvent en chryséléphantine, avec des études figuratives de jeunes femmes, d’enfants et de quelques personnages historiques.",,,,,,luminaire_1534.jpg,,,,
Oui,,Affortunato Gory (actif de 1895 - 1925).,,,,"Il est connu pour travailler principalement dans le style Art Déco souvent en chryséléphantine, avec des études figuratives de jeunes femmes, d’enfants et de quelques personnages historiques.",,,,,,luminaire_1535.jpg,,,,
Non,Dolly,Agence Humbert & Poyet (2007 - ).,,,,Cabinet d'architecture d'intérieur fondé par Emil Humbert et Christophe Poyet à Monaco.,,,,,,luminaire_6892.jpg,,,,
Non,Georges,Agence Humbert & Poyet (2007 - ).,,,,Cabinet d'architecture d'intérieur fondé par Emil Humbert et Christophe Poyet à Monaco.,,,,,,luminaire_6893.jpg,,,,
Non,Lolita,Agence Humbert & Poyet (2007 - ).,,,,Cabinet d'architecture d'intérieur fondé par Emil Humbert et Christophe Poyet à Monaco.,,,,,,luminaire_6888.jpg,,,,
Non,Sorbet,Agence Humbert & Poyet (2007 - ).,,,,Cabinet d'architecture d'intérieur fondé par Emil Humbert et Christophe Poyet à Monaco.,,,,,,luminaire_6889.jpg,,,,
Non,Trophy short,Agence Humbert & Poyet (2007 - ).,,,,Cabinet d'architecture d'intérieur fondé par Emil Humbert et Christophe Poyet à Monaco.,,,,,,luminaire_6887.jpg,,,,
Non,Yoyo IIl,Agence Humbert & Poyet (2007 - ).,,,,Cabinet d'architecture d'intérieur fondé par Emil Humbert et Christophe Poyet à Monaco.,,,,,,luminaire_6891.jpg,,,,
Non,,Aguste Fix (1925 - 2000).,,,,Sculpteur français.,,,,,,luminaire_2326.jpg,,,,
Non,,Aguste Fix (1925 - 2000).,,,,Sculpteur français.,,,,,,luminaire_2327.jpg,,,,
Non,,Aguste Fix (1925 - 2000).,,,,Sculpteur français.,,,,,,luminaire_2328.jpg,,,,
Non,,Aguste Fix (1925 - 2000).,,,,Sculpteur français.,,,,,,luminaire_2329.jpg,,,,
Non,,Aguste Fix (1925 - 2000).,,,,Sculpteur français.,,,,,,luminaire_2331.jpg,,,,
Oui,FIX,Aguste Fix (1925 - 2000).,,,,Sculpteur français.,,,,,,luminaire_2325.jpg,,,,
Non,,Ai Weiwei (1957 - ).,,,,"Sculpteur, photographe, architecte, commissaire d’exposition et blogueur chinois.",,,,,,luminaire_7468.jpg,,,,
Non,,Ai Weiwei (1957 - ).,,,,"Sculpteur, photographe, architecte, commissaire d’exposition et blogueur chinois.",,,,,,luminaire_7469.jpg,,,,
Non,,Ai Weiwei (1957 - ).,,,,"Sculpteur, photographe, architecte, commissaire d’exposition et blogueur chinois.",,,,,,luminaire_7470.jpg,,,,
Non,,Akram Legrand ( - ).,,,,Artiste français.,,,,,,luminaire_5765.jpg,,,,
Non,,Akram Legrand ( - ).,,,,Artiste français.,,,,,,luminaire_5766.jpg,,,,
Non,,Alain Carré (1945 - ).,,,,Designer français.,Verre Lumière,,,,,luminaire_5319.jpg,,,,
Non,10639,Alain Carré (1945 - ).,1970,,,Designer français.,Verre Lumière,,,,,luminaire_5320.jpg,,,,
Non,10640,Alain Carré (1945 - ).,1970,,,Designer français.,Verre Lumière,,,,,luminaire_5318.jpg,,,,
Non,10643,Alain Carré (1945 - ).,1984,,,Designer français.,Verre Lumière,,,,,luminaire_5317.jpg,,,,
Non,,Alain Chervet (1944 - ?).,,,,Artiste et sculpteur français.,,,,,,luminaire_4196.jpg,,,,
